supplier_name_raw,supplier_name_norm,candidate_company_number,candidate_company_name,match_score,candidate_count,total_spend,decision,queue_reason
AJ's Academy,AJ S ACADEMY,06807408,AJ'S ACADEMY LIMITED,1.0,1,338104.63,,tier 4 fuzzy
Torwood House School,TORWOOD HOUSE SCHOOL,04058527,TORWOOD HOUSE SCHOOL LIMITED,1.0,1,337949.27,,tier 4 fuzzy
Adatis Consulting Limited,ADATIS CONSULTING LTD,05727383,TELEFÓNICA TECH UK DATA & AI LIMITED,,1,336225.02,,tier 1 demoted: register name disagrees
Little Peanuts Day Nursery,LITTLE PEANUTS DAY NURSERY,12473557,LITTLE PEANUTS DAY NURSERY LIMITED,1.0,1,335786.16,,tier 4 fuzzy
Willows Nursing Home,WILLOWS NURSING HOME,02777851,WILLOWS NURSING HOME LIMITED,1.0,1,333709.19,,tier 4 fuzzy
FosterPlus,FOSTERPLUS,03196297,FOSTERPLUS LIMITED,1.0,1,333588.06,,tier 4 fuzzy
EXELA TECHNOLOGIES LTD,EXELA TECHNOLOGIES LTD,01283512,XBP EUROPE LIMITED,,1,330588.93,,tier 1 demoted: register name disagrees
AIRBUS DEFENCE & SPACE,AIRBUS DEFENCE AND SPACE,02449259,AIRBUS DEFENCE AND SPACE LIMITED,1.0,1,327749.63,,tier 4 fuzzy
Complete Care Holdings,COMPLETE CARE HOLDINGS,04522416,COMPLETE CARE HOLDINGS LIMITED,1.0,1,325758.69,,tier 4 fuzzy
Heritage Healthcare,HERITAGE HEALTHCARE,06307078,HERITAGE HEALTHCARE LIMITED,1.0,1,305474.82,,tier 4 fuzzy
FAMILY MATTERS,FAMILY MATTERS,13952109,FAMILY MATTERS LIMITED,1.0,1,302144,,tier 4 fuzzy
Aegis Care Solutions,AEGIS CARE SOLUTIONS,10499073,AEGIS CARE SOLUTIONS LIMITED,1.0,1,301251.17,,tier 4 fuzzy
CHY Consultancy,CHY CONSULTANCY,10825013,CHY CONSULTANCY LIMITED,1.0,1,300740,,tier 4 fuzzy
Care Solutions Recruitment,CARE SOLUTIONS RECRUITMENT,07128310,CARE RECRUITMENT SOLUTIONS LIMITED,1.0,1,299844.96,,tier 4 fuzzy
Tiny Steps Nursery,TINY STEPS NURSERY,13922509,TINY STEPS NURSERY LTD,1.0,1,299576.75,,tier 4 fuzzy
Little Spuds Day Nursery,LITTLE SPUDS DAY NURSERY,11325491,LITTLE SPUDS DAY NURSERY LTD,1.0,1,296172.12,,tier 4 fuzzy
Crombie Wilkinson Solicitors,CROMBIE WILKINSON SOLICITORS,OC353865,CROMBIE WILKINSON SOLICITORS LLP,1.0,1,293256,,tier 4 fuzzy
Cotham Gardens Primary School,COTHAM GARDENS PRIMARY SCHOOL,08144135,COTHAM GARDENS PRIMARY SCHOOL LTD,1.0,1,292080.23,,tier 4 fuzzy
Little Acorns New Earswick,LITTLE ACORNS NEW EARSWICK,08494903,LITTLE ACORNS NEW EARSWICK LTD,1.0,1,291619.49,,tier 4 fuzzy
Brain In Hand Ltd,BRAIN IN HAND LTD,06971006,BRAIN-IN-HAND LIMITED,,1,290580,,tier 1 demoted: register name disagrees
LDA Design,LDA DESIGN,02874205,LDA DESIGN LIMITED,1.0,1,282602.14,,tier 4 fuzzy
New World Timber,NEW WORLD TIMBER,05390101,NEW WORLD TIMBER LIMITED,1.0,1,282291.5,,tier 4 fuzzy
Walmgate Day Nursery,WALMGATE DAY NURSERY,SC728986,WALMGATE DAY NURSERY LTD,1.0,1,282152.53,,tier 4 fuzzy
Triangle Care,TRIANGLE CARE,08897382,TRIANGLE CARE LIMITED,1.0,1,280200,,tier 4 fuzzy
LGBT Foundation,LGBT FOUNDATION,03476576,LGBT FOUNDATION LTD,1.0,1,278094.5,,tier 4 fuzzy
BUPA,BUPA,02306135,BUPA LIMITED,1.0,1,275397.01,,tier 4 fuzzy
BUPA,BUPA,03956433,BUPA INSURANCE LIMITED,,1,275397.01,,tier 1 demoted: register name disagrees
PM Property Lawyers,PM PROPERTY LAWYERS,05455986,PM PROPERTY LAWYERS LIMITED,1.0,1,275000,,tier 4 fuzzy
Proddow Mackay (Conveyancing) Ltd,PRODDOW MACKAY CONVEYANCING LTD,05455942,PRODDOW MACKAY (CONVEYANCING) LIMITED,1.0,1,275000,,tier 4 fuzzy
Daisy Chain Day Nursery,DAISY CHAIN DAY NURSERY,06031948,DAISY CHAIN DAY NURSERY LIMITED,1.0,1,273393.42,,tier 4 fuzzy
City Care Partnership,CITY CARE PARTNERSHIP,04386239,CITY CARE PARTNERSHIP LIMITED,1.0,1,271975.97,,tier 4 fuzzy
Right Legal Solicitors,RIGHT LEGAL SOLICITORS,15196265,RIGHT LEGAL SOLICITORS LTD,1.0,1,270000,,tier 4 fuzzy
Hoist & Shower Chair Company,HOIST AND SHOWER CHAIR COMPANY,04359957,HOIST AND SHOWER CHAIR COMPANY LTD,1.0,1,269158.12,,tier 4 fuzzy
DAISY CORPORATE SERVICES,DAISY CORPORATE SERVICES,08205265,DAISY CORPORATE SERVICES LIMITED,1.0,1,266752.8,,tier 4 fuzzy
BRADFORD CHILDREN AND FAMILIES TRUST,BRADFORD CHILDREN AND FAMILIES TRUST,14060995,BRADFORD CHILDREN AND FAMILIES TRUST LIMITED,1.0,1,266339.09,,tier 4 fuzzy
Thorpe House Specialist Adult Mental Health Unit,THORPE HOUSE SPECIALIST ADULT MENTAL HEALTH UNIT,05319583,THORPE HOUSE SPECIALIST ADULT MENTAL HEALTH UNIT LIMITED,1.0,1,265105.57,,tier 4 fuzzy
